Title total_words total_positive_words total_negative_words Tweets_num
beer_0319Mon_newyork 16378 360 156 1100
beer_0320Tue_newyork 26354 568 240 1821
beer_0321Wed_newyork 31401 634 274 2154
beer_0322Thu_newyork 29886 599 277 2106
beer_0323Fri_newyork 37633 665 310 2687
beer_0324Sat_newyork 54315 771 325 4101
beer_0325Sun_newyork 40246 587 317 2988
coffee_0319Mon_newyork 35296 1125 578 2289
coffee_0320Thu_newyork 36350 1067 677 2361
coffee_0321Wed_newyork 40238 1133 602 2538
coffee_0322Thu_newyork 35511 993 621 2286
coffee_0323Fri_newyork 33903 1055 555 2187
coffee_0324Sat_newyork 26756 778 412 1744
coffee_0325Sun_newyork 25152 727 391 1620
COLA_COKE_0319Mon_newyork 4200 118 78 286
COLA_COKE_0320Tue_newyork 5145 135 107 352
COLA_COKE_0321Wed_newyork 5075 126 99 347
COLA_COKE_0322Thu_newyork 4824 136 94 318
COLA_COKE_0323Fri_newyork 4957 121 101 335
COLA_COKE_0324Sat_newyork 4114 109 78 282
COLA_COKE_0325Sun_newyork 4358 114 113 304
juice_0319Mon_newyork 4167 117 70 300
juice_0320Tue_newyork 8383 238 161 606
juice_0321Wed_newyork 8367 200 148 581
juice_0322Thu_newyork 8983 249 178 621
juice_0323Fri_newyork 8791 265 190 609
juice_0324Sat_newyork 7082 170 148 511
juice_0325Sun_newyork 6906 178 156 485
tea_0319Mon_newyork 18569 565 326 1262
tea_0320Tue_newyork 18309 515 364 1246
tea_0321Wed_newyork 19281 605 324 1296
tea_0322Thu_newyork 18095 524 332 1244
tea_0323Fri_newyork 17423 509 348 1200
tea_0324Sat_newyork 13313 419 210 930
tea_0325Sun_newyork 16045 510 306 1087
water_0319TMon_newyork 42073 1061 895 2600
water_0320Tue_newyork 56909 1750 1198 3510
water_0321Wed_newyork 53511 1441 1074 3286
water_0322Thu_newyork 83952 2612 1603 5097
water_0323Fri_newyork 55336 1544 1188 3446
water_0324Sat_newyork 40650 1095 945 2588
water_0325Sun_newyork 40480 1091 903 2565
wine_0319Mon_newyork 13892 391 170 900
wine_0320Tue_newyork 20769 563 291 1322
wine_0321Wed_newyork 25977 814 352 1688
wine_0322Thu_newyork 22435 648 260 1477
wine_0323Fri_newyork 22364 624 265 1467
wine_0324Sat_newyork 16961 550 237 1137
wine_0325Sun_newyork 15985 478 243 1067
