Title total_words total_positive_words total_negative_words Tweets_num
beer_0402Mon_NY 23854 468 324 1660
beer_0403Tue_NY 26800 553 284 1842
beer_0404Wed_NY 26675 516 285 1856
beer_0405Thu_NY 30587 549 267 2158
beer_0406Fri_NY 31433 601 266 2252
beer_0407Sat_NY 68339 1131 490 5072
beer_0408Sun_NY 39700 606 323 2932
coffee_0402Mon_NY 31085 878 630 1994
coffee_0403Tue_NY 32529 1003 588 2118
coffee_0404Wed_NY 33914 978 602 2176
coffee_0405Thu_NY 34044 1053 573 2154
coffee_0406Fri_NY 25966 783 414 1674
coffee_0407Sat_NY 27023 812 430 1769
coffee_0408Sun_NY 26026 759 403 1723
tea_0402Mon_NY 16858 491 325 1143
tea_0403Tue_NY 17924 575 305 1234
tea_0404Wed_NY 17791 514 322 1222
tea_0405Thu_NY 16658 525 277 1142
tea_0406Fri_NY 14670 438 273 1010
tea_0407Sat_NY 13890 446 295 959
tea_0408Sun_NY 14627 461 288 992
juice_0402Mon_NY 7146 215 138 497
juice_0403Tue_NY 7933 216 156 553
juice_0404Wed_NY 8468 198 194 598
juice_0405Thu_NY 8269 218 149 572
juice_0406Fri_NY 7655 219 155 533
juice_0407Sat_NY 7096 193 172 489
juice_0408Sun_NY 6887 191 138 492
COLA_COKE_0402Mon_NY 5235 130 112 356
COLA_COKE_0403Tue_NY 5077 131 119 342
COLA_COKE_0404Wed_NY 4966 123 105 343
COLA_COKE_0405Thu_NY 4119 124 81 297
COLA_COKE_0406Fri_NY 6111 166 134 405
COLA_COKE_0407Sat_NY 4367 116 91 295
COLA_COKE_0408Sun_NY 3431 106 85 256
water_0402Mon_NY 45410 1178 955 2854
water_0403Tue_NY 49327 1350 1109 3050
water_0404Wed_NY 46831 1254 1014 2933
water_0405Thu_NY 51997 1380 1129 3178
water_0406Fri_NY 40469 1039 889 2482
water_0407Sat_NY 39404 1094 863 2454
water_0408Sun_NY 43237 1295 967 2657
wine_0402Mon_NY 18279 507 275 1207
wine_0403Tue_NY 17653 525 226 1161
wine_0404Wed_NY 20157 614 267 1285
wine_0405Thu_NY 18005 535 247 1162
wine_0406Fri_NY 17753 545 246 1150
wine_0407Sat_NY 16738 484 244 1131
wine_0408Sun_NY 15239 437 247 1018
