Title total_words total_positive_words total_negative_words Tweets_num
beer_0319Mon_LA 9961 223 118 693
beer_0320Tue_LA 13237 287 150 926
beer_0321Wed_LA 15540 326 185 1105
beer_0322Thu_LA 15361 336 196 1095
beer_0323Fri_LA 18551 372 185 1323
beer_0324Sat_LA 22523 395 216 1666
beer_0325Sun_LA 19970 346 204 1482
coffee_0319Mon_LA 18189 514 307 1200
coffee_0320Tue_LA 22203 659 384 1443
coffee_0321Wed_LA 22991 636 373 1482
coffee_0322Thu_LA 22418 729 365 1457
coffee_0323Fri_LA 19575 558 328 1315
coffee_0324Sat_LA 15838 466 244 1033
coffee_0325Sun_LA 14360 376 233 953
COLA_COKE_0319Mon_LA 2056 57 49 142
COLA_COKE_0320Tue_LA 2865 82 59 196
COLA_COKE_0321Wed_LA 2406 66 59 168
COLA_COKE_0322Thu_LA 2778 70 35 181
COLA_COKE_0323Fri_LA 2842 67 53 181
COLA_COKE_0324Sat_LA 2403 90 66 164
COLA_COKE_0325Sun_LA 880 26 14 60
juice_0319Mon_LA 4198 127 76 300
juice_0320Tue_LA 4565 124 79 332
juice_0321Wed_LA 5016 148 123 356
juice_0322Thu_LA 5291 132 114 368
juice_0323Fri_LA 5379 153 101 380
juice_0324Sat_LA 4771 115 83 333
juice_0325Sun_LA 4115 133 73 304
tea_0319Mon_LA 7326 230 117 500
tea_0320Tue_LA 10467 299 178 714
tea_0321Wed_LA 10523 369 187 703
tea_0322Thu_LA 9762 326 176 653
tea_0323Fri_LA 9291 281 183 625
tea_0324Sat_LA 7585 227 132 505
tea_0325Sun_LA 8647 246 160 585
water_0319Mon_LA 19769 521 475 1200
water_0320Tue_LA 30476 830 664 1883
water_0321Wed_LA 33138 955 740 2037
water_0322Thu_LA 46466 1447 849 2804
water_0323Fri_LA 32481 927 737 2016
water_0324Sat_LA 23262 656 517 1511
water_0325Sun_LA 21760 602 513 1376
wine_0319Mon_LA 9312 260 136 600
wine_0320Tue_LA 11808 353 134 762
wine_0321Wed_LA 12086 344 134 760
wine_0322Thu_LA 13385 396 164 859
wine_0323Fri_LA 13662 363 210 878
wine_0324Sat_LA 9815 317 129 648
wine_0325Sun_LA 9800 301 152 658
