Title total_words total_positive_words total_negative_words Tweets_num
beer_0409Mon_NY 23233 495 243 1617
beer_0410Tue_NY 24804 495 296 1700
beer_0411Wed_NY 26405 511 269 1811
beer_0412Thu_NY 29854 553 286 2095
beer_0413Fri_NY 39890 855 319 2824
beer_0414Sat_NY 50200 784 365 3740
beer_0415Sun_NY 36329 570 268 2716
coffee_0409Mon_NY 31787 925 642 2087
coffee_0410Tue_NY 33310 1040 578 2169
coffee_0411Wed_NY 34159 1051 542 2181
coffee_0412Thu_NY 42479 1599 633 2839
coffee_0413Fri_NY 32302 1058 561 2051
coffee_0414Sat_NY 38036 1083 764 2419
coffee_0415Sun_NY 44063 1164 1018 2730
tea_0409Mon_NY 16894 538 297 1157
tea_0410Tue_NY 18327 542 286 1205
tea_0411Wed_NY 17487 507 313 1164
tea_0412Thu_NY 21655 603 451 1562
tea_0413Fri_NY 15888 438 317 1096
tea_0414Sat_NY 13489 390 224 952
tea_0415Sun_NY 16719 454 297 1155
juice_0409Mon_NY 7911 240 155 557
juice_0410Tue_NY 7271 194 167 521
juice_0411Wed_NY 7741 187 156 554
juice_0412Thu_NY 8844 234 192 633
juice_0413Fri_NY 7706 213 151 548
juice_0414Sat_NY 6252 178 119 460
juice_0415Sun_NY 6245 180 117 436
COLA_COKE_0409Mon_NY 4639 126 111 318
COLA_COKE_0410Tue_NY 4318 109 88 296
COLA_COKE_0411Wed_NY 4631 138 93 319
COLA_COKE_0412Thu_NY 6172 181 126 405
COLA_COKE_0413Fri_NY 5418 151 117 366
COLA_COKE_0414Sat_NY 4755 118 111 330
COLA_COKE_0415Sun_NY 4056 93 102 287
water_0409Mon_NY 49217 1435 1053 3055
water_0410Tue_NY 50721 1373 1067 3110
water_0411Wed_NY 52378 1402 1235 3229
water_0412Thu_NY 48900 1221 1027 3053
water_0413Fri_NY 49180 1361 1012 3045
water_0414Sat_NY 41793 1222 884 2628
water_0415Sun_NY 38203 1006 798 2360
wine_0409Mon_NY 16143 533 220 1045
wine_0410Tue_NY 18461 537 255 1208
wine_0411Wed_NY 18625 558 233 1206
wine_0412Thu_NY 19633 526 261 1288
wine_0413Fri_NY 23048 668 334 1502
wine_0414Sat_NY 17360 510 221 1126
wine_0415Sun_NY 14759 448 245 1016
