Title total_words total_positive_words total_negative_words Tweets_num
beer_0409Mon_LA 15068 379 220 1044
beer_0410Tue_LA 13797 318 213 956
beer_0411Wed_LA 14697 354 206 1029
beer_0412Thu_LA 14658 336 173 998
beer_0413Fri_LA 19177 431 209 1359
beer_0414Sat_LA 20334 361 234 1492
beer_0415Sun_LA 19453 394 221 1442
coffee_0409Mon_LA 19546 593 378 1294
coffee_0410Tue_LA 18525 548 328 1234
coffee_0411Wed_LA 20306 622 332 1288
coffee_0412Thu_LA 19885 596 340 1308
coffee_0413Fri_LA 17828 507 292 1170
coffee_0414Sat_LA 21950 584 428 1386
coffee_0415Sun_LA 23645 627 468 1497
COLA_COKE_0409Mon_LA 2859 86 86 179
COLA_COKE_0410Tue_LA 2594 64 53 168
COLA_COKE_0411Wed_LA 2799 83 68 185
COLA_COKE_0412Thu_LA 3154 84 84 202
COLA_COKE_0413Fri_LA 2720 70 49 179
COLA_COKE_0414Sat_LA 2896 70 54 205
COLA_COKE_0415Sun_LA 2507 69 58 165
juice_0409Mon_LA 4648 123 101 340
juice_0410Tue_LA 4672 138 86 336
juice_0411Wed_LA 4944 143 94 351
juice_0412Thu_LA 6899 149 88 479
juice_0413Fri_LA 5456 146 95 384
juice_0414Sat_LA 4853 127 95 330
juice_0415Sun_LA 3951 115 67 286
tea_0409Mon_LA 9111 251 169 626
tea_0410Tue_LA 9571 288 183 666
tea_0411Wed_LA 10019 310 191 664
tea_0412Thu_LA 11030 309 207 778
tea_0413Fri_LA 10501 355 195 701
tea_0414Sat_LA 8427 226 161 570
tea_0415Sun_LA 8357 254 176 570
water_0409Mon_LA 28978 862 608 1787
water_0410Tue_LA 36143 1063 781 2242
water_0411Wed_LA 33960 873 705 2094
water_0412Thu_LA 31034 796 601 1910
water_0413Fri_LA 29201 830 598 1769
water_0414Sat_LA 26383 744 564 1637
water_0415Sun_LA 22454 639 492 1414
wine_0409Mon_LA 10285 352 136 661
wine_0410Tue_LA 11141 357 150 754
wine_0411Wed_LA 12525 366 124 799
wine_0412Thu_LA 11966 321 129 760
wine_0413Fri_LA 12875 351 175 831
wine_0414Sat_LA 11045 349 198 721
wine_0415Sun_LA 9204 269 153 616
