Title total_words total_positive_words total_negative_words Tweets_num
beer_0326Mon_LA 15734 314 221 1096
beer_0327Tue_LA 14782 360 215 1052
beer_0328Wed_LA 17825 422 251 1235
beer_0329Thu_LA 17853 356 232 1269
beer_0330Fri_LA 19521 411 243 1401
beer_0331Sat_LA 22703 457 260 1652
beer_0401Sun_LA 18593 336 238 1366
coffee_0326Mon_LA 19710 582 322 1286
coffee_0327Tue_LA 21277 608 371 1365
coffee_0328Wed_LA 19975 569 338 1316
coffee_0329Thu_LA 20900 594 401 1386
coffee_0330Fri_LA 26734 637 938 1823
coffee_0331Sat_LA 18049 459 414 1224
coffee_0401Sun_LA 13043 352 257 860
COLA_COKE_0326Mon_LA 1120 40 20 72
COLA_COKE_0327Tue_LA 1258 40 22 86
COLA_COKE_0328Wed_LA 2961 97 72 197
COLA_COKE_0329Thu_LA 2978 84 55 197
COLA_COKE_0330Fri_LA 3398 98 83 237
COLA_COKE_0331Sat_LA 3040 92 79 216
COLA_COKE_0401Sun_LA 2713 80 69 190
juice_0326Mon_LA 4375 129 81 321
juice_0327Tue_LA 4501 133 88 321
juice_0328Wed_LA 5284 137 83 361
juice_0329Thu_LA 4703 128 112 350
juice_0330Fri_LA 4978 140 86 359
juice_0331Sat_LA 4383 128 77 307
juice_0401Sun_LA 3985 116 98 286
tea_0326Mon_LA 9294 279 174 640
tea_0327Tue_LA 10040 334 208 699
tea_0328Wed_LA 9980 319 153 666
tea_0329Thu_LA 9273 319 144 648
tea_0330Fri_LA 9287 257 157 632
tea_0331Sat_LA 7764 237 135 542
tea_0401Sun_LA 6851 178 125 472
water_0326Mon_LA 27334 697 614 1693
water_0327Tue_LA 27819 741 619 1711
water_0328Wed_LA 33702 859 827 2097
water_0329Thu_LA 27553 758 668 1695
water_0330Fri_LA 27021 759 556 1713
water_0331Sat_LA 23124 621 524 1453
water_0401Sun_LA 19940 542 491 1286
wine_0326Mon_LA 10826 335 172 702
wine_0327Tue_LA 11797 359 155 773
wine_0328Wed_LA 13029 382 155 827
wine_0329Thu_LA 12565 358 168 814
wine_0330Fri_LA 13474 432 150 870
wine_0331Sat_LA 11776 314 153 769
wine_0401Sun_LA 10295 273 167 692
