V1 V2 V3
8 0 0
13 0 0
16 1 0
11 1 0
15 1 1
17 0 0
22 0 0
20 2 0
20 0 2
22 2 0
19 1 1
6 1 0
17 0 0
13 0 0
16 0 0
17 0 0
23 0 1
13 1 1
16 0 0
17 0 1
19 0 0
10 0 0
19 0 0
17 2 0
4 0 0
7 0 0
10 0 0
12 0 0
13 0 0
8 1 0
8 0 0
13 0 0
16 1 0
11 1 0
15 1 1
17 0 0
22 0 0
20 2 0
20 0 2
22 2 0
19 1 1
6 1 0
17 0 0
13 0 0
16 0 0
17 0 0
23 0 1
13 1 1
16 0 0
17 0 1
19 0 0
10 0 0
19 0 0
17 2 0
4 0 0
7 0 0
10 0 0
12 0 0
13 0 0
8 1 0
