V1 V2 V3
22 0 0
14 1 0
19 0 0
26 0 1
10 1 0
9 1 0
24 4 0
21 1 0
10 0 0
15 0 1
11 0 0
16 0 1
27 1 2
16 0 1
11 0 0
8 0 0
10 1 1
12 0 0
13 0 0
20 0 0
14 1 1
12 1 0
10 0 0
9 0 1
15 0 0
24 1 1
14 1 0
16 1 0
15 0 1
15 4 0
17 0 0
5 0 0
6 0 0
18 1 1
26 1 0
15 1 0
16 1 0
12 0 0
24 2 0
23 1 0
22 0 1
10 0 0
13 0 1
7 0 0
14 0 0
17 0 0
15 0 0
10 1 1
21 1 0
13 0 0
10 0 1
4 0 0
7 1 0
16 0 1
19 0 1
19 0 0
14 0 0
12 1 0
13 1 0
13 1 0
19 0 1
29 1 0
21 2 0
18 0 1
23 0 0
19 0 0
16 0 0
20 0 0
13 0 0
16 0 1
14 4 0
18 0 1
7 0 0
21 1 1
19 2 0
3 0 0
15 0 0
20 1 0
19 2 0
19 0 0
6 0 0
18 1 0
27 1 0
18 0 0
20 0 0
7 0 0
17 0 0
9 0 0
20 0 1
25 0 0
22 0 0
22 0 0
16 1 0
20 0 0
19 1 1
17 1 0
6 0 0
18 0 0
20 0 0
12 0 1
16 0 0
15 0 0
19 0 0
9 0 0
10 0 0
17 0 1
19 1 1
23 1 0
16 0 0
4 1 0
6 2 0
13 0 0
18 1 1
14 0 0
13 1 0
19 1 0
13 1 0
