V1 V2 V3
11 0 1
9 0 1
15 0 2
23 1 0
14 0 1
14 1 0
6 0 0
18 0 0
11 0 0
9 0 0
17 2 0
9 0 0
11 0 0
14 1 0
17 0 1
9 1 0
7 1 0
20 1 0
8 0 1
9 0 1
9 0 1
15 1 0
12 0 1
10 0 0
22 0 0
20 2 0
11 0 0
15 2 0
5 1 0
8 0 0
9 0 1
16 3 1
21 1 1
16 0 0
12 0 0
12 1 0
13 0 0
11 0 0
8 1 0
18 1 0
9 0 0
24 3 0
13 0 0
9 0 0
12 0 0
11 1 0
13 0 1
12 0 0
5 1 0
22 0 0
23 1 0
