V1 V2 V3
13 0 1
25 1 0
8 0 0
20 0 2
21 1 0
17 2 0
16 0 0
9 1 1
8 0 0
17 1 0
21 1 0
21 1 1
19 1 1
21 0 1
16 1 1
12 0 0
20 0 2
20 0 2
17 0 0
9 0 0
13 0 0
10 0 0
12 0 1
10 0 0
13 0 0
21 1 0
18 0 0
17 0 0
23 0 0
8 0 0
8 0 0
17 0 0
10 0 0
22 1 0
8 0 0
19 1 0
13 1 1
12 0 0
8 1 0
12 0 0
23 0 1
22 0 0
19 0 1
24 2 1
15 1 0
12 1 0
17 2 0
7 0 0
19 0 0
12 0 0
14 0 1
24 0 0
12 0 0
13 0 0
5 1 0
23 2 0
6 1 1
17 0 0
18 0 1
17 1 0
20 0 0
12 1 0
12 0 0
7 0 1
24 0 1
16 0 0
20 2 1
19 0 0
